country,name,type
Russia,"ООО ""Дмитрий Буланин""",Publishers / Scholarly Publishing
Korea,도서출판 우리글,Publishers / Comprehensive Publishing
United States,Karina Library Press,Publishers / Comprehensive Publishing
"Hong Kong, China",萬里機構出版有限公司,Publishers / Lifestyle Publishing
Korea,도서출판 다밋,Publishers / Comprehensive Publishing
Spain,"Ediciones Turpial, SA",Publishers / Comprehensive Publishing
Mexico,Editores Mexicanos Unidos,Publishers / Comprehensive Publishing
Italy,LetteraVentidue Edizioni,Publishers
Malaysia,大树出版社,Publishers / Children's Publishing
Russia,"""Publishing-House ""Zvonnitza-MG""  JSC",Publishers / Literature Publishing
Russia,Fluid FreeFly Publishing House,Publishers
Mexico,"Jorale Editores, SA de CV",Publishers / Comprehensive Publishing
China,Lanzhou University Press,Publishers / Comprehensive Publishing
China,"China Industry & Commerce Associated Press Co., Ltd.",Publishers / Comprehensive Publishing
China,"HEBEI SCIENCE & TECHNOLOGY PUBLISHING HOUSE CO., LTD.",Publishers / Science and Technology Publishing
United States,New York University Press,Publishers / Social Science Publishing
Korea,NSK,Publishers
Malaysia,Kualiti Books Sdn Bhd,Publishers / Children's Publishing
Singapore,Wild Crane Press Pte. Ltd.,Publishers / Children's Publishing
Guatemala,D´buk Editors,Publishers / Comprehensive Publishing
Austria,BACOPA Verlag,Publishers / Comprehensive Publishing
China,Liaoning Science and Technology Publishing House,Publishers
"Hong Kong, China",Hong Kong University Press,Publishers / Scholarly Publishing
Singapore,Gakken Asia Pacific,Publishers / Children's Publishing
Italy,Edizioni Centro Studi Erickson,Publishers / Comprehensive Publishing
Russia,"Издательство ""Проспект""",Publishers / Comprehensive Publishing
China,"Tianjin Ifengspace Media Co., Ltd.",Publishers / Science and Technology Publishing
Germany,TeNeues Publishing Group,Publishers / Culture & Art Publishing
Portugal,"Gradiva Publicações, S.A.",Publishers / Comprehensive Publishing
Slovenia,Morfemplus Publishing,Publishers / Children's Publishing
Singapore,Epigram Books,Publishers / Comprehensive Publishing
United Kingdom,Packt Publishing,Publishers / Comprehensive Publishing
United Kingdom,Windmill Books Ltd,Publishers / Children's Publishing
France,Hachette Pratique,Publishers
Switzerland,Braun Publishing AG,Publishers
Switzerland,Niggli Verlag,Publishers
China,"Cultural Branch of Longmen's Book (""CBLB"")",Publishers / Textbook Publishing
France,Denoël,Publishers / Comprehensive Publishing
"Taiwan, China",GrandTech Information,Publishers / Comprehensive Publishing
United States,SAGE Publications,Publishers / Social Science Publishing
France,Kilowatt publishing,Publishers / Children's Publishing
"Taiwan, China",PsyGarden Publishing Company,Publishers / Comprehensive Publishing
United Kingdom,Zed Books,Publishers / Social Science Publishing
China,Publishing House of Electronics Industry,Publishers / Comprehensive Publishing
United Kingdom,I.B.Tauris,Publishers / Scholarly Publishing
China,Guangxi People's Publishing House,Publishers / Comprehensive Publishing
Germany,IMAGINE Verlag,Publishers / Literature Publishing
China,Shanghai BenZhou Books,Publishers / Comprehensive Publishing
Italy,CAVINATO EDITORE INTERNATIONAL,Publishers / Comprehensive Publishing
Italy,Voilier Editions,Publishers / Comics Publishing
Italy,J. Amba Edizioni,Publishers / Comprehensive Publishing
Netherlands,LM Essential Publishers,Publishers / Comprehensive Publishing
United States,Better Karma Publishing,Publishers / Children's Publishing
China,China CITIC Press,Publishers / Comprehensive Publishing
China,Yilin Press,Publishers / Comprehensive Publishing
China,Sichuan Tiandi Publishing House,Publishers / Comprehensive Publishing
United States,Microcosm Publishing,Publishers / Culture & Art Publishing
Italy,ARTE e CRESCITA EDIZIONI,Publishers / Children's Publishing
China,Beijing Language and Culture University Press,Publishers / Comprehensive Publishing
China,Daylight Publishing House,Publishers / Children's Publishing
United Kingdom,Jessica Kingsley Publishers Ltd.,Publishers / Comprehensive Publishing
China,Hunan People's Publishing House,Publishers / Comprehensive Publishing
Korea,"한국 LUK Books Co.,Ltd",Publishers / Children's Publishing
Russia,"""New wave"" Publishing house",Publishers / Textbook Publishing
Korea,도서출판 서해문집,Publishers / Comprehensive Publishing
Belgium,Editions Versant Sud,Publishers / Comprehensive Publishing
France,FAVORABLE,Publishers / Lifestyle Publishing
South Africa,Modjaji Books,Publishers / Literature Publishing
Germany,Lucius & Lucius,Publishers / Social Science Publishing
China,Anhui Children's Publishing House,Publishers / Children's Publishing
Germany,AAVAA Verlag,Publishers / Comprehensive Publishing
France,Editions du lys noir,Publishers / Children's Publishing
Korea,파란자전거,Publishers / Children's Publishing
China,Tianjin people's fine art publishing house,Publishers / Culture & Art Publishing
United States,Sea Turtle Publishing,Publishers / Children's Publishing
France,Jonglez,Publishers
Switzerland,Les Editions Pierre Philippe,Publishers
France,Vedrana Editions,Publishers
United States,All About Kids Publishing,Publishers / Children's Publishing
China,Peking University Press,Publishers / Comprehensive Publishing
France,Sous la Cape,Publishers
France,MORRIGANE ÉDITIONS,Publishers
China,Popular Science Press,Publishers / Popular Science Publishing
Japan,株式会社スリーエーネットワーク,Publishers / Textbook Publishing
France,Les Editions Marie-Louise,Publishers / Children's Publishing
France,Le Papillon Rouge Editeur,Publishers / Comprehensive Publishing
Korea,"Olbyeo Co., Ltd.",Publishers / Children's Publishing
Korea,한국 라이온북스 출판사,Publishers / Comprehensive Publishing
Korea,Nahan Plan Limited,Publishers / Children's Publishing
Russia,Издательский дом «Мир русского слова» (МИРС),Publishers / Scholarly Publishing
Korea,Fractalbooks,Publishers / Popular Science Publishing
Russia,Издательство «Инфра-Инженерия»,Publishers / Science and Technology Publishing
Canada,AKVY PRESS,Publishers / Comprehensive Publishing
Germany,Philosophia Verlag GmbH,Publishers / Scholarly Publishing
Spain,Ediciones Alfar S.A.,Publishers / Comprehensive Publishing
Russia,ООО 'Издательство В.Шевчук',Publishers / Culture & Art Publishing
South Africa,South African History Online,Publishers / Social Science Publishing
Denmark,River Publishers,Publishers / Scholarly Publishing
United States,Bluewater Productions,Publishers / Children's Publishing
Germany,Gatzanis Verlag,Publishers / Lifestyle Publishing
China,Beijing Science and Technology Press,Publishers / Science and Technology Publishing
Spain,Editorial Luis Vives,Publishers
Korea,청림출판,Publishers / Comprehensive Publishing
China,"Hangzhou Blue Lion Cultural & Creative Co., Ltd.",Publishers / Economic & Financial Publishing
United States,Standard International Media Holdings,Publishers / Reference Books Publishing
Korea,도서출판 싸이프레스,Publishers / Comprehensive Publishing
United States,"Leadership Garden® Enterprise, LLC",Publishers / Other
Switzerland,Éditions Favre,Publishers
Russia,Издательство Антология,Publishers / Textbook Publishing
France,Editions du Caïman,Publishers / Comprehensive Publishing
Korea,공간예술사,Publishers / Science and Technology Publishing
China,People's Publishing House,Publishers / Literature Publishing
United States,"Thomas Nelson, Inc.",Publishers / Comprehensive Publishing
United Kingdom,Boxer Books,Publishers / Children's Publishing
Ukraine,Частное предприятие Чайка,Publishers / Children's Publishing
Italy,De Agostini Libri Spa,Publishers / Comprehensive Publishing
China,Shaanxi Taibai Literature & Art Publishing House,Publishers / Literature Publishing
China,Zhejiang Science and Technology Publishing House,Publishers / Science and Technology Publishing
Chile,Editorial acuarela y Bibliotecnica Ediciones,Publishers / Textbook Publishing
"Taiwan, China","PLANTER PRESS CO., LTD",Publishers / Comprehensive Publishing
"Taiwan, China",復文圖書有限公司,Publishers / Scholarly Publishing
Russia,Vita Nova,Publishers / Literature Publishing
Spain,T&B,Publishers / Culture & Art Publishing
Germany,Carl Hanser Verlag,Publishers / Comprehensive Publishing
"Taiwan, China",爾雅出版社,Publishers / Literature Publishing
Korea,자람출판사,Publishers / Children's Publishing
Korea,엔블록(nblock),Publishers / Literature Publishing
Russia,"Литературно-издательское агентство ""СовА""",Publishers / Comprehensive Publishing
Russia,Группа Компаний «РИПОЛ классик»,Publishers / Literature Publishing
United States,"Loving Healing Press, Inc.",Publishers / Comprehensive Publishing
Russia,Издательский Дом Мещерякова,Publishers / Children's Publishing
Japan,株式会社東山書房,Publishers / Textbook Publishing
Spain,Psimatica Editorial S.L.,Publishers / Popular Science Publishing
Argentina,Goldfinger S.A.,Publishers / Comprehensive Publishing
France,Éditions La Taillanderie,Publishers / Comprehensive Publishing
Singapore,ISEAS Publishing,Publishers / Social Science Publishing
United States,Greenleaf Book Group LLC,Publishers / Comprehensive Publishing
Mexico,"Grupo Editor Orfila Valentini, SA de CV",Publishers / Comprehensive Publishing
Canada,Brock Rock Mass Media Productions,Publishers / Children's Publishing
Russia,Издательство «Поляндрия»,Publishers / Children's Publishing
Japan,株式会社 旭屋出版,Publishers / Lifestyle Publishing
Sweden,Bokförlaget Axplock,Publishers / Scholarly Publishing
Argentina,AZ,Publishers / Comprehensive Publishing
Korea,(주)태일소담,Publishers / Comprehensive Publishing
Japan,かもがわ出版,Publishers / Textbook Publishing
Australia,UWA Publishing,Publishers / Scholarly Publishing
Russia,Издательство «Иностранка» и «КоЛибри»,Publishers / Literature Publishing
Russia,"Издательство ""Речь""",Publishers / Textbook Publishing
Germany,Silberburg-Verlag GmbH,Publishers
Italy,Edizioni Scudo,Publishers / Literature Publishing
Russia,Издательство «РОССПЭН»,Publishers / Social Science Publishing
Switzerland,Pagine d'Arte,Publishers / Culture & Art Publishing
Russia,ОАО «Воениздат»,Publishers / Social Science Publishing
Russia,Издательский дом «Жигульский»,Publishers / Culture & Art Publishing
Russia,Издательство КИТОНИ,Publishers / Comprehensive Publishing
China,People's Medical Publishing House(PMPH),Publishers / Science and Technology Publishing
Canada,Éditions Option Santé enr.,Publishers / Popular Science Publishing
Korea,소통,Publishers / Textbook Publishing
Italy,ZeroUnoUndici,Publishers / Literature Publishing
Russia,4art Ltd,Publishers / Textbook Publishing
Germany,Corona Verlag,Publishers / Lifestyle Publishing
China,Zhejiang Juvenile and Children's Publishing House,Publishers / Children's Publishing
China,New Buds Publishing House,Publishers / Children's Publishing
China,People's Publishing House,Publishers / Comprehensive Publishing
China,Juvenile & Children's Publishing House,Publishers / Children's Publishing
China,New World Press,Publishers / Comprehensive Publishing
South Africa,Kima Global Publishers,Publishers / Lifestyle Publishing
Thailand,Amarin Printing & Publishing Pcl.,Publishers / Other
Russia,Eye Publishing,Publishers / Children's Publishing
Italy,Associazione Akkuaria,Publishers / Literature Publishing
Russia,ООО «Издательство Ломоносовъ»,Publishers / Comprehensive Publishing
China,Chinese Teenagers Press,Publishers / Children's Publishing
Russia,"Издательство ""АКВИЛЕГИЯ-М""",Publishers / Children's Publishing
"Taiwan, China",Morning Star Publishing Inc.,Publishers / Comprehensive Publishing
China,Jiangxi People's Publishing House,Publishers / Comprehensive Publishing
Canada,"Hades Publications, Inc.",Publishers / Literature Publishing
China,People's Literature Publishing House,Publishers / Literature Publishing
China,The Commercial Press,Publishers / Reference Books Publishing
China,Shandong Pictorial Publishing house,Publishers / Popular Science Publishing
China,Zhonghua Book Company,Publishers / Literature Publishing
China,Shandong Friendship Publishing House,Publishers / Comprehensive Publishing
China,World Publishing Corporation,Publishers / Comprehensive Publishing
China,People's Music Publishing House,Publishers / Audio-visual Publishing
China,"Shandong People's Publishing House Co.,Ltd.",Publishers / Literature Publishing
Russia,Самовар,Publishers / Children's Publishing
China,Rongbaozhai Publishing House,Publishers / Culture & Art Publishing
China,Shandong Fine Arts Publishing House,Publishers / Culture & Art Publishing
Japan,有限会社　至光社,Publishers / Children's Publishing
Spain,Ediciones Antigona,Publishers / Comprehensive Publishing
Russia,"Издательство ""Махаон""",Publishers / Children's Publishing
